what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1416299881262
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1416299881309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299892792
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1416299892838
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299897503
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1416299902293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299902324
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416299902324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1416299902324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299904820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299925651
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1416299925667
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1416299928616
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299940632
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299942114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1416299942130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299946186
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299947700
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1416299947700
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1416299948948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299955579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300093801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300096781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300097003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300101434
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300200159
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1416300200299
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1416300200393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300203154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300207148
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300212296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300222311
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1416300222358
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1416300222374
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1416300246399
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1416300249066
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300249098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300250548
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1416300250907
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1416300252062
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1416300252904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300270205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300315634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300317225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300319784
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416300319909
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1416300320127
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1416300320127
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1416300320127
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1416300320127
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1416300320127
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1416300320127
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1416300320127
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1416300320127
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1416300320127
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1416300320143
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1416300320143
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1416300320143
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1416300320143
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1416300320143
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1416300320143
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1416300320143
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1416300320143
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1416300320143
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1416300320143
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1416300320158
